candidate_id,source_split,row_index,filename,sequence_group,width,height,road_score,neutral_fraction,green_excess,blue_excess,edge_score,shadow_mask_coverage,local_image,local_mask,human_decision,human_note
SRD-012,train,903,_MG_3319.jpg,mg_000055,840,640,2.399740,1.000000,0.001767,0.004798,0.015426,0.128784,data/raw/v2/srd_train_road_shadow_sample/images/train_0903__MG_3319.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0903__MG_3319.jpg,pending,
SRD-013,train,1542,_MG_4364.jpg,mg_000072,840,640,2.397523,1.000000,0.003046,0.001406,0.011927,0.194336,data/raw/v2/srd_train_road_shadow_sample/images/train_1542__MG_4364.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1542__MG_4364.jpg,pending,
SRD-014,train,1520,_MG_4308.jpg,mg_000071,840,640,2.396707,1.000000,0.003266,0.000919,0.010868,0.085388,data/raw/v2/srd_train_road_shadow_sample/images/train_1520__MG_4308.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1520__MG_4308.jpg,pending,
SRD-015,train,1418,_MG_4121.jpg,mg_000068,840,640,2.395678,0.996528,0.001487,0.002784,0.016875,0.377075,data/raw/v2/srd_train_road_shadow_sample/images/train_1418__MG_4121.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1418__MG_4121.jpg,pending,
SRD-016,train,1535,_MG_4340.jpg,mg_000072,840,640,2.395588,1.000000,0.003834,0.000348,0.010725,0.059143,data/raw/v2/srd_train_road_shadow_sample/images/train_1535__MG_4340.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1535__MG_4340.jpg,pending,
SRD-017,train,1553,_MG_4410.jpg,mg_000073,840,640,2.392835,1.000000,0.004345,0.000554,0.009335,0.079895,data/raw/v2/srd_train_road_shadow_sample/images/train_1553__MG_4410.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1553__MG_4410.jpg,pending,
SRD-018,train,1574,_MG_4454.jpg,mg_000074,840,640,2.390917,1.000000,0.004972,0.000164,0.008612,0.078979,data/raw/v2/srd_train_road_shadow_sample/images/train_1574__MG_4454.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1574__MG_4454.jpg,pending,
SRD-019,train,1585,_MG_4471.jpg,mg_000074,840,640,2.390450,1.000000,0.005111,0.000010,0.008281,0.066650,data/raw/v2/srd_train_road_shadow_sample/images/train_1585__MG_4471.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1585__MG_4471.jpg,pending,
SRD-020,train,1558,_MG_4427.jpg,mg_000073,840,640,2.390065,1.000000,0.005191,0.000004,0.008059,0.015686,data/raw/v2/srd_train_road_shadow_sample/images/train_1558__MG_4427.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1558__MG_4427.jpg,pending,
SRD-021,train,1608,_MG_4514.jpg,mg_000075,840,640,2.388424,1.000000,0.004839,0.002088,0.007782,0.258911,data/raw/v2/srd_train_road_shadow_sample/images/train_1608__MG_4514.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1608__MG_4514.jpg,pending,
SRD-022,train,851,_MG_3260.jpg,mg_000054,840,640,2.385778,0.999653,0.001340,0.016695,0.015235,0.212708,data/raw/v2/srd_train_road_shadow_sample/images/train_0851__MG_3260.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0851__MG_3260.jpg,pending,
SRD-023,train,579,IMG_6982.jpg,img_000116,840,640,2.384513,0.995920,0.006428,0.007193,0.031743,0.216370,data/raw/v2/srd_train_road_shadow_sample/images/train_0579_IMG_6982.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0579_IMG_6982.jpg,pending,
SRD-024,train,1976,_MG_5110.jpg,mg_000085,840,640,2.372626,0.985851,0.002148,0.000021,0.018649,0.403809,data/raw/v2/srd_train_road_shadow_sample/images/train_1976__MG_5110.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1976__MG_5110.jpg,pending,
SRD-025,train,1621,_MG_4545.jpg,mg_000075,840,640,2.370687,0.988715,0.004604,0.000001,0.016548,0.095337,data/raw/v2/srd_train_road_shadow_sample/images/train_1621__MG_4545.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1621__MG_4545.jpg,pending,
SRD-026,train,2609,_MG_8621.jpg,mg_000143,840,640,2.368619,0.988715,0.001617,0.013424,0.023805,0.045410,data/raw/v2/srd_train_road_shadow_sample/images/train_2609__MG_8621.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2609__MG_8621.jpg,pending,
SRD-027,train,1984,_MG_5128.jpg,mg_000085,840,640,2.368012,0.984983,0.003234,0.000011,0.019672,0.340515,data/raw/v2/srd_train_road_shadow_sample/images/train_1984__MG_5128.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1984__MG_5128.jpg,pending,
SRD-028,train,698,_MG_3018.jpg,mg_000050,840,640,2.367826,0.995313,0.015815,0.000499,0.038742,0.073364,data/raw/v2/srd_train_road_shadow_sample/images/train_0698__MG_3018.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0698__MG_3018.jpg,pending,
SRD-029,train,869,_MG_3281.jpg,mg_000054,840,640,2.367350,0.991840,0.001130,0.016256,0.014043,0.236694,data/raw/v2/srd_train_road_shadow_sample/images/train_0869__MG_3281.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0869__MG_3281.jpg,pending,
SRD-030,train,1908,_MG_4998.jpg,mg_000083,840,640,2.361653,0.985503,0.004568,0.002126,0.018143,0.030029,data/raw/v2/srd_train_road_shadow_sample/images/train_1908__MG_4998.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1908__MG_4998.jpg,pending,
SRD-031,train,4,DSCF0290.jpg,dscf_000004,1437,2065,2.361197,0.988889,0.007910,0.006098,0.027017,0.011597,data/raw/v2/srd_train_road_shadow_sample/images/train_0004_DSCF0290.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0004_DSCF0290.jpg,pending,
SRD-032,train,81,IMG_5449.jpg,img_000090,840,640,2.360964,0.976910,0.001576,0.000707,0.031368,0.055786,data/raw/v2/srd_train_road_shadow_sample/images/train_0081_IMG_5449.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0081_IMG_5449.jpg,pending,
SRD-033,train,2606,_MG_8617.jpg,mg_000143,840,640,2.359273,0.983681,0.001919,0.011945,0.026472,0.040161,data/raw/v2/srd_train_road_shadow_sample/images/train_2606__MG_8617.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2606__MG_8617.jpg,pending,
SRD-034,train,2646,_MG_8848.jpg,mg_000147,840,640,2.358023,0.976736,0.000879,0.000467,0.024362,0.021606,data/raw/v2/srd_train_road_shadow_sample/images/train_2646__MG_8848.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2646__MG_8848.jpg,pending,
SRD-035,train,1921,_MG_5020.jpg,mg_000083,840,640,2.357124,0.982031,0.003468,0.001765,0.018245,0.082520,data/raw/v2/srd_train_road_shadow_sample/images/train_1921__MG_5020.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1921__MG_5020.jpg,pending,
SRD-036,train,679,_MG_2997.jpg,mg_000049,840,640,2.349812,0.987500,0.014731,0.000936,0.035897,0.130188,data/raw/v2/srd_train_road_shadow_sample/images/train_0679__MG_2997.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0679__MG_2997.jpg,pending,
SRD-037,train,1644,_MG_4574.jpg,mg_000076,840,640,2.347655,0.979514,0.004539,0.000000,0.014911,0.055054,data/raw/v2/srd_train_road_shadow_sample/images/train_1644__MG_4574.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1644__MG_4574.jpg,pending,
SRD-038,train,352,IMG_6509.jpg,img_000108,840,640,2.346264,0.978125,0.007120,0.000008,0.028760,0.211487,data/raw/v2/srd_train_road_shadow_sample/images/train_0352_IMG_6509.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0352_IMG_6509.jpg,pending,
SRD-039,train,55,DSCF0647.jpg,dscf_000010,1889,2745,2.345505,0.980122,0.007677,0.008853,0.038384,0.145508,data/raw/v2/srd_train_road_shadow_sample/images/train_0055_DSCF0647.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0055_DSCF0647.jpg,pending,
SRD-040,train,363,IMG_6525.jpg,img_000108,840,640,2.342667,0.977431,0.007234,0.000007,0.026491,0.247192,data/raw/v2/srd_train_road_shadow_sample/images/train_0363_IMG_6525.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0363_IMG_6525.jpg,pending,
SRD-041,train,2136,_MG_5793.jpg,mg_000096,840,640,2.325091,0.964757,0.003407,0.000270,0.028882,0.109619,data/raw/v2/srd_train_road_shadow_sample/images/train_2136__MG_5793.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2136__MG_5793.jpg,pending,
SRD-042,train,2639,_MG_8830.jpg,mg_000147,840,640,2.323560,0.960677,0.001590,0.001423,0.034874,0.126831,data/raw/v2/srd_train_road_shadow_sample/images/train_2639__MG_8830.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2639__MG_8830.jpg,pending,
SRD-043,train,61,IMG_1_5681.jpg,img_000000,840,640,2.323383,0.976302,0.015399,0.000023,0.037830,0.148132,data/raw/v2/srd_train_road_shadow_sample/images/train_0061_IMG_1_5681.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0061_IMG_1_5681.jpg,pending,
SRD-044,train,161,IMG_5680.jpg,img_000094,840,640,2.315242,0.973003,0.015351,0.000000,0.037267,0.138367,data/raw/v2/srd_train_road_shadow_sample/images/train_0161_IMG_5680.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0161_IMG_5680.jpg,pending,
SRD-045,train,1107,_MG_3703.jpg,mg_000061,840,640,2.306990,0.961979,0.004060,0.000019,0.014919,0.061951,data/raw/v2/srd_train_road_shadow_sample/images/train_1107__MG_3703.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1107__MG_3703.jpg,pending,
SRD-046,train,778,_MG_3166.jpg,mg_000052,840,640,2.306049,0.954167,0.003557,0.000234,0.038572,0.083801,data/raw/v2/srd_train_road_shadow_sample/images/train_0778__MG_3166.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0778__MG_3166.jpg,pending,
SRD-047,train,1310,_MG_3976.jpg,mg_000066,840,640,2.305768,0.959722,0.006526,0.000000,0.031444,0.060547,data/raw/v2/srd_train_road_shadow_sample/images/train_1310__MG_3976.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1310__MG_3976.jpg,pending,
SRD-048,train,1326,_MG_3996.jpg,mg_000066,840,640,2.304473,0.957552,0.005594,0.000002,0.033045,0.031372,data/raw/v2/srd_train_road_shadow_sample/images/train_1326__MG_3996.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1326__MG_3996.jpg,pending,
SRD-049,train,47,DSCF0569.jpg,dscf_000009,1889,2745,2.302939,0.959462,0.007415,0.004386,0.039626,0.053040,data/raw/v2/srd_train_road_shadow_sample/images/train_0047_DSCF0569.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0047_DSCF0569.jpg,pending,
SRD-050,train,172,IMG_5706.jpg,img_000095,840,640,2.301712,0.967014,0.006855,0.010916,0.020774,0.373779,data/raw/v2/srd_train_road_shadow_sample/images/train_0172_IMG_5706.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0172_IMG_5706.jpg,pending,
SRD-051,train,1092,_MG_3682.jpg,mg_000061,840,640,2.297550,0.960677,0.005118,0.000431,0.011136,0.274719,data/raw/v2/srd_train_road_shadow_sample/images/train_1092__MG_3682.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1092__MG_3682.jpg,pending,
SRD-052,train,1062,_MG_3643.jpg,mg_000060,840,640,2.285296,0.952865,0.003576,0.000091,0.013226,0.329834,data/raw/v2/srd_train_road_shadow_sample/images/train_1062__MG_3643.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1062__MG_3643.jpg,pending,
SRD-053,train,770,_MG_3158.jpg,mg_000052,840,640,2.282673,0.943837,0.002763,0.000205,0.037142,0.255432,data/raw/v2/srd_train_road_shadow_sample/images/train_0770__MG_3158.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0770__MG_3158.jpg,pending,
SRD-054,train,2219,_MG_6032.jpg,mg_000100,840,640,2.281687,0.952691,0.004998,0.004106,0.021641,0.207886,data/raw/v2/srd_train_road_shadow_sample/images/train_2219__MG_6032.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2219__MG_6032.jpg,pending,
SRD-055,train,84,IMG_5452.jpg,img_000090,840,640,2.279279,0.953819,0.006156,0.010950,0.031027,0.029663,data/raw/v2/srd_train_road_shadow_sample/images/train_0084_IMG_5452.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0084_IMG_5452.jpg,pending,
SRD-056,train,2123,_MG_5777.jpg,mg_000096,840,640,2.278012,0.944878,0.003738,0.000016,0.030768,0.076965,data/raw/v2/srd_train_road_shadow_sample/images/train_2123__MG_5777.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2123__MG_5777.jpg,pending,
SRD-057,train,2629,_MG_8769.jpg,mg_000146,840,640,2.277204,0.945920,0.002443,0.000515,0.021350,0.044006,data/raw/v2/srd_train_road_shadow_sample/images/train_2629__MG_8769.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2629__MG_8769.jpg,pending,
SRD-058,train,171,IMG_5705.jpg,img_000095,840,640,2.274344,0.954774,0.007207,0.008414,0.020864,0.454224,data/raw/v2/srd_train_road_shadow_sample/images/train_0171_IMG_5705.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0171_IMG_5705.jpg,pending,
SRD-059,train,2192,_MG_5969.jpg,mg_000099,840,640,2.273927,0.949132,0.004951,0.004265,0.022831,0.089905,data/raw/v2/srd_train_road_shadow_sample/images/train_2192__MG_5969.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2192__MG_5969.jpg,pending,
SRD-060,train,2201,_MG_5986.jpg,mg_000099,840,640,2.262652,0.943750,0.004489,0.003906,0.022580,0.154602,data/raw/v2/srd_train_road_shadow_sample/images/train_2201__MG_5986.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2201__MG_5986.jpg,pending,
SRD-061,train,152,IMG_5658.jpg,img_000094,840,640,2.259141,0.950955,0.011019,0.003853,0.020756,0.058228,data/raw/v2/srd_train_road_shadow_sample/images/train_0152_IMG_5658.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0152_IMG_5658.jpg,pending,
SRD-062,train,2498,_MG_6577.jpg,mg_000109,840,640,2.257699,0.946875,0.007446,0.001293,0.012984,0.168762,data/raw/v2/srd_train_road_shadow_sample/images/train_2498__MG_6577.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2498__MG_6577.jpg,pending,
SRD-063,train,56,DSCF0683.jpg,dscf_000011,1889,2745,2.254458,0.946615,0.011081,0.009413,0.038745,0.282593,data/raw/v2/srd_train_road_shadow_sample/images/train_0056_DSCF0683.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0056_DSCF0683.jpg,pending,
SRD-064,train,1151,_MG_3759.jpg,mg_000062,840,640,2.231759,0.927691,0.007748,0.000110,0.040968,0.083435,data/raw/v2/srd_train_road_shadow_sample/images/train_1151__MG_3759.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1151__MG_3759.jpg,pending,
SRD-065,train,2621,_MG_8755.jpg,mg_000145,840,640,2.231474,0.926476,0.001953,0.000775,0.021029,0.099182,data/raw/v2/srd_train_road_shadow_sample/images/train_2621__MG_8755.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2621__MG_8755.jpg,pending,
SRD-066,train,594,IMG_7001.jpg,img_000116,840,640,2.229284,0.941493,0.012594,0.003917,0.017405,0.360840,data/raw/v2/srd_train_road_shadow_sample/images/train_0594_IMG_7001.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0594_IMG_7001.jpg,pending,
SRD-067,train,1639,_MG_4568.jpg,mg_000076,840,640,2.228968,0.926562,0.003350,0.000001,0.021813,0.107300,data/raw/v2/srd_train_road_shadow_sample/images/train_1639__MG_4568.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1639__MG_4568.jpg,pending,
SRD-068,train,131,IMG_5542.jpg,img_000092,840,640,2.227433,0.931510,0.000406,0.027696,0.037516,0.449646,data/raw/v2/srd_train_road_shadow_sample/images/train_0131_IMG_5542.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0131_IMG_5542.jpg,pending,
SRD-069,train,1878,_MG_4963.jpg,mg_000082,840,640,2.220319,0.925694,0.005844,0.007544,0.036054,0.087585,data/raw/v2/srd_train_road_shadow_sample/images/train_1878__MG_4963.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1878__MG_4963.jpg,pending,
SRD-070,train,2597,_MG_6722.jpg,mg_000112,840,640,2.219542,0.931771,0.009519,0.002099,0.020527,0.068420,data/raw/v2/srd_train_road_shadow_sample/images/train_2597__MG_6722.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2597__MG_6722.jpg,pending,
SRD-071,train,520,IMG_6893.jpg,img_000114,840,640,2.218716,0.935503,0.012827,0.006467,0.028211,0.601807,data/raw/v2/srd_train_road_shadow_sample/images/train_0520_IMG_6893.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0520_IMG_6893.jpg,pending,
SRD-072,train,614,_MG_2380.jpg,mg_000039,840,640,2.214811,0.920399,0.003111,0.004160,0.028827,0.093140,data/raw/v2/srd_train_road_shadow_sample/images/train_0614__MG_2380.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0614__MG_2380.jpg,pending,
SRD-073,train,0,A_MG_8619.jpg,amg_000143,840,640,2.212480,0.921788,0.001656,0.012420,0.028657,0.024048,data/raw/v2/srd_train_road_shadow_sample/images/train_0000_A_MG_8619.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0000_A_MG_8619.jpg,pending,
SRD-074,train,30,DSCF0535.jpg,dscf_000008,1889,2745,2.212077,0.925868,0.010076,0.005870,0.038953,0.134583,data/raw/v2/srd_train_road_shadow_sample/images/train_0030_DSCF0535.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0030_DSCF0535.jpg,pending,
SRD-075,train,2627,_MG_8765.jpg,mg_000146,840,640,2.211559,0.917969,0.002041,0.000304,0.021318,0.077332,data/raw/v2/srd_train_road_shadow_sample/images/train_2627__MG_8765.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2627__MG_8765.jpg,pending,
SRD-076,train,2582,_MG_6706.jpg,mg_000111,840,640,2.209770,0.927951,0.010527,0.000001,0.020385,0.109009,data/raw/v2/srd_train_road_shadow_sample/images/train_2582__MG_6706.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2582__MG_6706.jpg,pending,
SRD-077,train,142,IMG_5637.jpg,img_000093,840,640,2.207840,0.930729,0.013141,0.003849,0.025904,0.111938,data/raw/v2/srd_train_road_shadow_sample/images/train_0142_IMG_5637.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0142_IMG_5637.jpg,pending,
SRD-078,train,106,IMG_5492.jpg,img_000091,840,640,2.204894,0.923438,0.004222,0.018577,0.033719,0.059509,data/raw/v2/srd_train_road_shadow_sample/images/train_0106_IMG_5492.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0106_IMG_5492.jpg,pending,
SRD-079,train,2,DSCF0211.jpg,dscf_000003,1005,852,2.194464,0.913976,0.007607,0.007980,0.047599,0.058350,data/raw/v2/srd_train_road_shadow_sample/images/train_0002_DSCF0211.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0002_DSCF0211.jpg,pending,
SRD-080,train,2228,_MG_6041.jpg,mg_000100,840,640,2.192922,0.919618,0.005396,0.012338,0.024045,0.194763,data/raw/v2/srd_train_road_shadow_sample/images/train_2228__MG_6041.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2228__MG_6041.jpg,pending,
SRD-081,train,817,_MG_3222.jpg,mg_000053,840,640,2.188361,0.905903,0.004871,0.000036,0.041217,0.149048,data/raw/v2/srd_train_road_shadow_sample/images/train_0817__MG_3222.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0817__MG_3222.jpg,pending,
SRD-082,train,2600,_MG_6727.jpg,mg_000112,840,640,2.181684,0.916319,0.011141,0.000959,0.024413,0.052979,data/raw/v2/srd_train_road_shadow_sample/images/train_2600__MG_6727.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2600__MG_6727.jpg,pending,
SRD-083,train,13,DSCF0451.jpg,dscf_000007,490,640,2.181088,0.933247,0.023734,0.000811,0.019246,0.038574,data/raw/v2/srd_train_road_shadow_sample/images/train_0013_DSCF0451.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0013_DSCF0451.jpg,pending,
SRD-084,train,2617,_MG_8751.jpg,mg_000145,840,640,2.177381,0.903472,0.001781,0.000566,0.021526,0.126343,data/raw/v2/srd_train_road_shadow_sample/images/train_2617__MG_8751.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2617__MG_8751.jpg,pending,
SRD-085,train,1,A_MG_8621_2.jpg,amg_000143,840,640,2.174133,0.905382,0.001437,0.012410,0.029172,0.042908,data/raw/v2/srd_train_road_shadow_sample/images/train_0001_A_MG_8621_2.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0001_A_MG_8621_2.jpg,pending,
SRD-086,train,1662,_MG_4643.jpg,mg_000077,840,640,2.157001,0.892795,0.004714,0.000000,0.040619,0.041748,data/raw/v2/srd_train_road_shadow_sample/images/train_1662__MG_4643.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1662__MG_4643.jpg,pending,
SRD-087,train,1460,_MG_4181.jpg,mg_000069,840,640,2.141445,0.884288,0.002491,0.000001,0.038040,0.123779,data/raw/v2/srd_train_road_shadow_sample/images/train_1460__MG_4181.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1460__MG_4181.jpg,pending,
SRD-088,train,2412,_MG_6456.jpg,mg_000107,840,640,2.125099,0.892274,0.009195,0.005484,0.025439,0.047180,data/raw/v2/srd_train_road_shadow_sample/images/train_2412__MG_6456.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2412__MG_6456.jpg,pending,
SRD-089,train,70,IMG_2428.jpg,img_000040,840,640,2.119769,0.877257,0.003343,0.004116,0.041886,0.153320,data/raw/v2/srd_train_road_shadow_sample/images/train_0070_IMG_2428.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0070_IMG_2428.jpg,pending,
SRD-090,train,941,_MG_3367.jpg,mg_000056,840,640,2.114103,0.896701,0.003691,0.037834,0.026420,0.082153,data/raw/v2/srd_train_road_shadow_sample/images/train_0941__MG_3367.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0941__MG_3367.jpg,pending,
SRD-091,train,77,IMG_5269.jpg,img_000087,640,480,2.107100,0.881337,0.005879,0.008330,0.027894,0.209106,data/raw/v2/srd_train_road_shadow_sample/images/train_0077_IMG_5269.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0077_IMG_5269.jpg,pending,
SRD-092,train,199,IMG_6197.jpg,img_000103,840,640,2.099258,0.872135,0.003087,0.001483,0.024532,0.128174,data/raw/v2/srd_train_road_shadow_sample/images/train_0199_IMG_6197.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0199_IMG_6197.jpg,pending,
SRD-093,train,1137,_MG_3743.jpg,mg_000062,840,640,2.098887,0.873264,0.006832,0.000359,0.034257,0.271973,data/raw/v2/srd_train_road_shadow_sample/images/train_1137__MG_3743.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1137__MG_3743.jpg,pending,
SRD-094,train,19,DSCF0459.jpg,dscf_000007,490,640,2.096605,0.898264,0.024381,0.001039,0.021660,0.048157,data/raw/v2/srd_train_road_shadow_sample/images/train_0019_DSCF0459.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0019_DSCF0459.jpg,pending,
SRD-095,train,452,IMG_6690.jpg,img_000111,840,640,2.092883,0.883854,0.015781,0.000170,0.027397,0.405457,data/raw/v2/srd_train_road_shadow_sample/images/train_0452_IMG_6690.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0452_IMG_6690.jpg,pending,
