candidate_id,source_split,row_index,filename,sequence_group,surface_context,width,height,shadow_mask_coverage,local_image,local_mask,human_decision,human_note
SRD-038,train,352,IMG_6509.jpg,img_000108,paved sidewalk and curb,840,640,0.211487,data/raw/v2/srd_train_road_shadow_sample/images/train_0352_IMG_6509.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0352_IMG_6509.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-041,train,2136,_MG_5793.jpg,mg_000096,paved ground,840,640,0.109619,data/raw/v2/srd_train_road_shadow_sample/images/train_2136__MG_5793.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2136__MG_5793.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-054,train,2219,_MG_6032.jpg,mg_000100,tiled sidewalk,840,640,0.207886,data/raw/v2/srd_train_road_shadow_sample/images/train_2219__MG_6032.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2219__MG_6032.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-057,train,2629,_MG_8769.jpg,mg_000146,steps and asphalt edge,840,640,0.044006,data/raw/v2/srd_train_road_shadow_sample/images/train_2629__MG_8769.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2629__MG_8769.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-062,train,2498,_MG_6577.jpg,mg_000109,sidewalk,840,640,0.168762,data/raw/v2/srd_train_road_shadow_sample/images/train_2498__MG_6577.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2498__MG_6577.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-070,train,2597,_MG_6722.jpg,mg_000112,sidewalk and curb,840,640,0.068420,data/raw/v2/srd_train_road_shadow_sample/images/train_2597__MG_6722.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2597__MG_6722.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-072,train,614,_MG_2380.jpg,mg_000039,asphalt road,840,640,0.093140,data/raw/v2/srd_train_road_shadow_sample/images/train_0614__MG_2380.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0614__MG_2380.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-076,train,2582,_MG_6706.jpg,mg_000111,paved sidewalk,840,640,0.109009,data/raw/v2/srd_train_road_shadow_sample/images/train_2582__MG_6706.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2582__MG_6706.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-084,train,2617,_MG_8751.jpg,mg_000145,sidewalk and asphalt,840,640,0.126343,data/raw/v2/srd_train_road_shadow_sample/images/train_2617__MG_8751.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2617__MG_8751.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-089,train,70,IMG_2428.jpg,img_000040,asphalt street and curb,840,640,0.153320,data/raw/v2/srd_train_road_shadow_sample/images/train_0070_IMG_2428.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0070_IMG_2428.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-091,train,77,IMG_5269.jpg,img_000087,street and paved ground,640,480,0.209106,data/raw/v2/srd_train_road_shadow_sample/images/train_0077_IMG_5269.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0077_IMG_5269.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-092,train,199,IMG_6197.jpg,img_000103,curb and sidewalk,840,640,0.128174,data/raw/v2/srd_train_road_shadow_sample/images/train_0199_IMG_6197.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0199_IMG_6197.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-095,train,452,IMG_6690.jpg,img_000111,paved ground and curb,840,640,0.405457,data/raw/v2/srd_train_road_shadow_sample/images/train_0452_IMG_6690.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0452_IMG_6690.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
SRD-078,train,106,IMG_5492.jpg,img_000091,sidewalk utility cover,840,640,0.059509,data/raw/v2/srd_train_road_shadow_sample/images/train_0106_IMG_5492.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0106_IMG_5492.jpg,keep,Approved by student: visible shadow on a clear road-like surface.
