review_round,sample_id,region,target_min_side_px,labels_in_full_image,human_decision,reviewer_note,candidate_id,source_image_path,record_action,evidence_flag
1,manhole_020,Xicheng,27,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121706291322048392Q_1295580900_482591000::manhole::002,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121706291322048392Q_1295580900_482591000.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_021,Chaoyang,22,crack;manhole_cover,approve_manhole,,svrdd::train::0900220012200307121609408HJ_1296043400_484046100::manhole::001,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200307121609408HJ_1296043400_484046100.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_022,Dongcheng,13,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121901221345159322Q_1295907500_482336100::manhole::005,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901221345159322Q_1295907500_482336100.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_023,Fengtai,18,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902201120530967F_1294336000_482246400::manhole::002,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902201120530967F_1294336000_482246400.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_024,Haidian,25,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130902124130013J3_1294834500_483494800::manhole::001,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130902124130013J3_1294834500_483494800.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_025,Xicheng,22,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121706211227533082Q_1295594600_482717300::manhole::001,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121706211227533082Q_1295594600_482717300.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_026,Chaoyang,45,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121904111404363312L_1296839800_482449500::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200121904111404363312L_1296839800_482449500.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_027,Dongcheng,50,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121901201426138422K_1296001300_483353100::manhole::001,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901201426138422K_1296001300_483353100.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_028,Fengtai,12,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902181457432322K_1295437900_481919600::manhole::003,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902181457432322K_1295437900_481919600.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_029,Haidian,15,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130902133829086J3_1294905000_483481700::manhole::004,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130902133829086J3_1294905000_483481700.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_030,Xicheng,12,manhole_cover;pothole;repaired_road,approve_manhole,,svrdd::train::09002200121902061245595792L_1295468900_482844600::manhole::004,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902061245595792L_1295468900_482844600.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_031,Chaoyang,23,crack;manhole_cover,reject_unclear,Unclear image,svrdd::train::09002200121902251531101528O_1297969500_485068300::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200121902251531101528O_1297969500_485068300.jpg,exclude_from_candidate_pool,low_resolution_review_difficulty
1,manhole_032,Dongcheng,17,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121901211104016582K_1296253000_482940500::manhole::001,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901211104016582K_1296253000_482940500.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_033,Fengtai,13,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902241146126522Q_1294877200_481559400::manhole::001,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902241146126522Q_1294877200_481559400.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_034,Haidian,15,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130823105706645J3_1294580100_482910400::manhole::001,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130823105706645J3_1294580100_482910400.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_035,Xicheng,26,crack;manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200121902051227168892L_1295444500_482166300::manhole::002,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902051227168892L_1295444500_482166300.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_036,Chaoyang,16,crack;manhole_cover,reject_unclear,Unclear image,svrdd::train::09002200121902241110034722B_1296267000_482705400::manhole::001,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200121902241110034722B_1296267000_482705400.jpg,exclude_from_candidate_pool,low_resolution_review_difficulty
1,manhole_037,Dongcheng,17,crack;manhole_cover,reject_unclear,Unclear image,svrdd::train::09002200121707021634566082Q_1295979300_482457600::manhole::001,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121707021634566082Q_1295979300_482457600.jpg,exclude_from_candidate_pool,low_resolution_review_difficulty
1,manhole_038,Fengtai,68,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902251000544922K_1295177300_481122300::manhole::001,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902251000544922K_1295177300_481122300.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_039,Haidian,39.999,crack;manhole_cover,approve_manhole,,svrdd::train::0900220000150517032758938A6_1294176600_482911900::manhole::001,data/raw/v2/svrdd/extracted/train/images/Haidian/0900220000150517032758938A6_1294176600_482911900.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_040,Xicheng,18,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902031316484542L_1295607300_483278000::manhole::002,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902031316484542L_1295607300_483278000.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_041,Chaoyang,14,crack;manhole_cover,approve_manhole,,svrdd::train::0900220012200315162206365HJ_1297310000_482031900::manhole::001,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200315162206365HJ_1297310000_482031900.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_042,Dongcheng,24.001,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121707111154133172M_1295956900_482601900::manhole::001,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121707111154133172M_1295956900_482601900.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_043,Fengtai,51,crack;manhole_cover;pothole,approve_manhole,,svrdd::train::09002200121902250957429772Q_1294963500_481693300::manhole::003,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902250957429772Q_1294963500_481693300.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_044,Haidian,25,crack;manhole_cover,approve_manhole,,svrdd::train::0900220012200318120716132HJ_1294637000_482818000::manhole::003,data/raw/v2/svrdd/extracted/train/images/Haidian/0900220012200318120716132HJ_1294637000_482818000.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_045,Xicheng,20,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902031221522092L_1295592900_483356000::manhole::002,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902031221522092L_1295592900_483356000.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_046,Chaoyang,24.001,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902241020136132G_1297537400_484139300::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200121902241020136132G_1297537400_484139300.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_047,Dongcheng,16,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121707021319595992Q_1296199700_482451600::manhole::002,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121707021319595992Q_1296199700_482451600.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_048,Fengtai,23,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902181617414982K_1295281200_481901400::manhole::000,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902181617414982K_1295281200_481901400.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_049,Haidian,16,crack;manhole_cover,reject_unclear,Unclear image,svrdd::train::0900220012200307131309360HG_1294888900_484221000::manhole::003,data/raw/v2/svrdd/extracted/train/images/Haidian/0900220012200307131309360HG_1294888900_484221000.jpg,exclude_from_candidate_pool,low_resolution_review_difficulty
1,manhole_050,Xicheng,17,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121706171359284842Q_1295278700_482417200::manhole::002,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121706171359284842Q_1295278700_482417200.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_051,Chaoyang,13,crack;manhole_cover,approve_manhole,,svrdd::train::0900220012200313144057672HG_1297193500_482364600::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200313144057672HG_1297193500_482364600.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_052,Dongcheng,18,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121707111139376962Q_1296168100_483041600::manhole::005,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121707111139376962Q_1296168100_483041600.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_053,Fengtai,21,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902231604416848K_1294497700_481731700::manhole::003,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902231604416848K_1294497700_481731700.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_054,Haidian,21,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130830085429166J3_1294923700_483375000::manhole::002,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130830085429166J3_1294923700_483375000.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_055,Xicheng,19,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902031606415202L_1295589600_482890700::manhole::001,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902031606415202L_1295589600_482890700.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_056,Chaoyang,14,crack;manhole_cover,approve_manhole,,svrdd::train::09002200122003111331342816G_1296856000_482035100::manhole::001,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200122003111331342816G_1296856000_482035100.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_057,Dongcheng,19,crack;manhole_cover,reject_unclear,Unclear image,svrdd::train::09002200121901241215459442K_1295980600_482735100::manhole::003,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901241215459442K_1295980600_482735100.jpg,exclude_from_candidate_pool,low_resolution_review_difficulty
1,manhole_058,Fengtai,12,manhole_cover;pothole,approve_manhole,,svrdd::train::09002200121707101441432948T_1295496200_481901600::manhole::001,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707101441432948T_1295496200_481901600.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_059,Haidian,12,manhole_cover;pothole,approve_manhole,,svrdd::train::0100220000130902125837575J3_1294889800_483451100::manhole::002,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130902125837575J3_1294889800_483451100.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_060,Xicheng,23,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121707091025365628D_1295080600_482127500::manhole::002,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121707091025365628D_1295080600_482127500.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
