review_id,candidate_id,source_dataset,source_split,source_record_id,source_image_path,original_source_label,human_decision,reviewer_notes,training_status
NS-019,streetsurfacevis::train::814836792718636,StreetSurfaceVis,train,814836792718636,data/raw/v2/streetsurfacevis/s_1024/814836792718636.jpg,Normal_asphalt,shadow_present,,excluded_from_no_shadow_candidate_set
NS-020,streetsurfacevis::train::802322163710717,StreetSurfaceVis,train,802322163710717,data/raw/v2/streetsurfacevis/s_1024/802322163710717.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-021,streetsurfacevis::train::485363269348105,StreetSurfaceVis,train,485363269348105,data/raw/v2/streetsurfacevis/s_1024/485363269348105.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-022,streetsurfacevis::train::753640608659247,StreetSurfaceVis,train,753640608659247,data/raw/v2/streetsurfacevis/s_1024/753640608659247.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-023,streetsurfacevis::train::993568121645717,StreetSurfaceVis,train,993568121645717,data/raw/v2/streetsurfacevis/s_1024/993568121645717.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-024,streetsurfacevis::train::4382010995165875,StreetSurfaceVis,train,4382010995165875,data/raw/v2/streetsurfacevis/s_1024/4382010995165875.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-025,streetsurfacevis::train::150317243718267,StreetSurfaceVis,train,150317243718267,data/raw/v2/streetsurfacevis/s_1024/150317243718267.jpg,Normal_asphalt,shadow_present,,excluded_from_no_shadow_candidate_set
NS-026,streetsurfacevis::train::1187791265215775,StreetSurfaceVis,train,1187791265215775,data/raw/v2/streetsurfacevis/s_1024/1187791265215775.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-027,streetsurfacevis::train::810999677419251,StreetSurfaceVis,train,810999677419251,data/raw/v2/streetsurfacevis/s_1024/810999677419251.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-028,streetsurfacevis::train::1142265532953657,StreetSurfaceVis,train,1142265532953657,data/raw/v2/streetsurfacevis/s_1024/1142265532953657.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-029,streetsurfacevis::train::482006733705163,StreetSurfaceVis,train,482006733705163,data/raw/v2/streetsurfacevis/s_1024/482006733705163.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-030,streetsurfacevis::train::742872509734606,StreetSurfaceVis,train,742872509734606,data/raw/v2/streetsurfacevis/s_1024/742872509734606.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-031,streetsurfacevis::train::4130993023695364,StreetSurfaceVis,train,4130993023695364,data/raw/v2/streetsurfacevis/s_1024/4130993023695364.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-032,streetsurfacevis::train::726159688466990,StreetSurfaceVis,train,726159688466990,data/raw/v2/streetsurfacevis/s_1024/726159688466990.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-033,streetsurfacevis::train::744029259612041,StreetSurfaceVis,train,744029259612041,data/raw/v2/streetsurfacevis/s_1024/744029259612041.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-034,streetsurfacevis::train::240783648191559,StreetSurfaceVis,train,240783648191559,data/raw/v2/streetsurfacevis/s_1024/240783648191559.jpg,Normal_asphalt,shadow_present,,excluded_from_no_shadow_candidate_set
NS-035,streetsurfacevis::train::4285304724821100,StreetSurfaceVis,train,4285304724821100,data/raw/v2/streetsurfacevis/s_1024/4285304724821100.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-036,streetsurfacevis::train::803521833639155,StreetSurfaceVis,train,803521833639155,data/raw/v2/streetsurfacevis/s_1024/803521833639155.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-037,streetsurfacevis::train::498340641516936,StreetSurfaceVis,train,498340641516936,data/raw/v2/streetsurfacevis/s_1024/498340641516936.jpg,Normal_asphalt,shadow_present,,excluded_from_no_shadow_candidate_set
NS-038,streetsurfacevis::train::1931077070594607,StreetSurfaceVis,train,1931077070594607,data/raw/v2/streetsurfacevis/s_1024/1931077070594607.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-039,streetsurfacevis::train::1167198743781110,StreetSurfaceVis,train,1167198743781110,data/raw/v2/streetsurfacevis/s_1024/1167198743781110.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-040,streetsurfacevis::train::515304936158040,StreetSurfaceVis,train,515304936158040,data/raw/v2/streetsurfacevis/s_1024/515304936158040.jpg,Normal_asphalt,shadow_present,,excluded_from_no_shadow_candidate_set
NS-041,streetsurfacevis::train::978445736233602,StreetSurfaceVis,train,978445736233602,data/raw/v2/streetsurfacevis/s_1024/978445736233602.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-042,streetsurfacevis::train::277967264903768,StreetSurfaceVis,train,277967264903768,data/raw/v2/streetsurfacevis/s_1024/277967264903768.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-043,streetsurfacevis::train::524805188675918,StreetSurfaceVis,train,524805188675918,data/raw/v2/streetsurfacevis/s_1024/524805188675918.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-044,streetsurfacevis::train::879368329460913,StreetSurfaceVis,train,879368329460913,data/raw/v2/streetsurfacevis/s_1024/879368329460913.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-045,streetsurfacevis::train::1405219660272349,StreetSurfaceVis,train,1405219660272349,data/raw/v2/streetsurfacevis/s_1024/1405219660272349.jpg,Normal_asphalt,shadow_present,,excluded_from_no_shadow_candidate_set
NS-046,streetsurfacevis::train::1778700352335380,StreetSurfaceVis,train,1778700352335380,data/raw/v2/streetsurfacevis/s_1024/1778700352335380.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-047,streetsurfacevis::train::155080163794210,StreetSurfaceVis,train,155080163794210,data/raw/v2/streetsurfacevis/s_1024/155080163794210.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-048,streetsurfacevis::train::554372596573093,StreetSurfaceVis,train,554372596573093,data/raw/v2/streetsurfacevis/s_1024/554372596573093.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-049,streetsurfacevis::train::878791416001573,StreetSurfaceVis,train,878791416001573,data/raw/v2/streetsurfacevis/s_1024/878791416001573.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-050,streetsurfacevis::train::145858377503846,StreetSurfaceVis,train,145858377503846,data/raw/v2/streetsurfacevis/s_1024/145858377503846.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-051,streetsurfacevis::train::911250652992836,StreetSurfaceVis,train,911250652992836,data/raw/v2/streetsurfacevis/s_1024/911250652992836.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-052,streetsurfacevis::train::918908606618366,StreetSurfaceVis,train,918908606618366,data/raw/v2/streetsurfacevis/s_1024/918908606618366.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-053,streetsurfacevis::train::511118723256567,StreetSurfaceVis,train,511118723256567,data/raw/v2/streetsurfacevis/s_1024/511118723256567.jpg,Normal_asphalt,shadow_present,,excluded_from_no_shadow_candidate_set
NS-054,streetsurfacevis::train::848524202410406,StreetSurfaceVis,train,848524202410406,data/raw/v2/streetsurfacevis/s_1024/848524202410406.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-055,streetsurfacevis::train::401175468702884,StreetSurfaceVis,train,401175468702884,data/raw/v2/streetsurfacevis/s_1024/401175468702884.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-056,streetsurfacevis::train::165477135663600,StreetSurfaceVis,train,165477135663600,data/raw/v2/streetsurfacevis/s_1024/165477135663600.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-057,streetsurfacevis::train::818614312100096,StreetSurfaceVis,train,818614312100096,data/raw/v2/streetsurfacevis/s_1024/818614312100096.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-058,streetsurfacevis::train::1129291450892284,StreetSurfaceVis,train,1129291450892284,data/raw/v2/streetsurfacevis/s_1024/1129291450892284.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-059,streetsurfacevis::train::302428901464558,StreetSurfaceVis,train,302428901464558,data/raw/v2/streetsurfacevis/s_1024/302428901464558.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-060,streetsurfacevis::train::843021024064570,StreetSurfaceVis,train,843021024064570,data/raw/v2/streetsurfacevis/s_1024/843021024064570.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
