candidate_id,primary_road_label,added_multilabel,review_manifest_id,decision,eligibility
streetsurfacevis::train::181308047218781,normal_asphalt,shadow,SHC-025,approved,training_candidate
streetsurfacevis::train::2939732132929665,unpaved_road,shadow,SHC-026,approved,training_candidate
streetsurfacevis::train::139169918256250,normal_asphalt,shadow,SHC-027,approved,training_candidate
streetsurfacevis::train::933939060778844,unpaved_road,shadow,SHC-028,approved,training_candidate
streetsurfacevis::train::777860316934426,normal_asphalt,shadow,SHC-029,approved,training_candidate
streetsurfacevis::train::1186097935289887,unpaved_road,shadow,SHC-030,approved,training_candidate
streetsurfacevis::train::384540989438987,normal_asphalt,shadow,SHC-031,approved,training_candidate
streetsurfacevis::train::307491000995071,unpaved_road,shadow,SHC-032,approved,training_candidate
streetsurfacevis::train::622139943084244,normal_asphalt,shadow,SHC-033,approved,training_candidate
streetsurfacevis::train::747889975879252,unpaved_road,shadow,SHC-034,approved,training_candidate
streetsurfacevis::train::378957980103499,normal_asphalt,shadow,SHC-035,approved,training_candidate
streetsurfacevis::train::402311471988862,unpaved_road,shadow,SHC-036,approved,training_candidate
streetsurfacevis::train::2495703727241395,unpaved_road,shadow,SHC-038,approved,training_candidate
streetsurfacevis::train::328089486133724,normal_asphalt,shadow,SHC-039,approved,training_candidate
streetsurfacevis::train::526604292558981,unpaved_road,shadow,SHC-040,approved,training_candidate
streetsurfacevis::train::1049314595676107,normal_asphalt,shadow,SHC-041,approved,training_candidate
streetsurfacevis::train::952838519326149,unpaved_road,shadow,SHC-042,approved,training_candidate
streetsurfacevis::train::508321237028095,unpaved_road,shadow,SHC-044,approved,training_candidate
streetsurfacevis::train::949628032537945,unpaved_road,shadow,SHC-046,approved,training_candidate
streetsurfacevis::train::1689868921185534,normal_asphalt,shadow,SHC-047,approved,training_candidate
streetsurfacevis::train::750876553479452,normal_asphalt,shadow,SHC-049,approved,training_candidate
streetsurfacevis::train::2577029312602779,unpaved_road,shadow,SHC-050,approved,training_candidate
streetsurfacevis::train::660659185947673,normal_asphalt,shadow,SHC-051,approved,training_candidate
streetsurfacevis::train::196222005656732,unpaved_road,shadow,SHC-052,approved,training_candidate
streetsurfacevis::train::837970896819599,unpaved_road,shadow,SHC-054,approved,training_candidate
streetsurfacevis::train::2790059851304330,normal_asphalt,shadow,SHC-055,approved,training_candidate
streetsurfacevis::train::240147194706566,unpaved_road,shadow,SHC-056,approved,training_candidate
streetsurfacevis::train::983380299076038,normal_asphalt,shadow,SHC-057,approved,training_candidate
streetsurfacevis::train::1143604186142613,unpaved_road,shadow,SHC-058,approved,training_candidate
streetsurfacevis::train::6387681008014431,normal_asphalt,shadow,SHC-059,approved,training_candidate
streetsurfacevis::train::3148338475484320,unpaved_road,shadow,SHC-060,approved,training_candidate
streetsurfacevis::train::171471178223682,normal_asphalt,shadow,SHC-061,approved,training_candidate
streetsurfacevis::train::341069360868097,unpaved_road,shadow,SHC-062,approved,training_candidate
streetsurfacevis::train::622352640043014,normal_asphalt,shadow,SHC-065,approved,training_candidate
streetsurfacevis::train::136054085234849,unpaved_road,shadow,SHC-066,approved,training_candidate
streetsurfacevis::train::134978469474529,normal_asphalt,shadow,SHC-067,approved,training_candidate
streetsurfacevis::train::525021055594235,unpaved_road,shadow,SHC-068,approved,training_candidate
streetsurfacevis::train::1268561386881948,unpaved_road,shadow,SHC-070,approved,training_candidate
streetsurfacevis::train::214036046971434,normal_asphalt,shadow,SHC-073,approved,training_candidate
streetsurfacevis::train::959327628152817,unpaved_road,shadow,SHC-074,approved,training_candidate
streetsurfacevis::train::744757802796089,normal_asphalt,shadow,SHC-075,approved,training_candidate
streetsurfacevis::train::308581817542011,unpaved_road,shadow,SHC-076,approved,training_candidate
streetsurfacevis::train::479452896651060,normal_asphalt,shadow,SHC-077,approved,training_candidate
streetsurfacevis::train::364687708606147,unpaved_road,shadow,SHC-078,approved,training_candidate
streetsurfacevis::train::179825063913606,normal_asphalt,shadow,SHC-079,approved,training_candidate
streetsurfacevis::train::308046217438600,unpaved_road,shadow,SHC-080,approved,training_candidate
streetsurfacevis::train::123354223533005,normal_asphalt,shadow,SHC-081,approved,training_candidate
streetsurfacevis::train::918634292544322,unpaved_road,shadow,SHC-082,approved,training_candidate
streetsurfacevis::train::197845428667751,normal_asphalt,shadow,SHC-083,approved,training_candidate
streetsurfacevis::train::312618196915273,unpaved_road,shadow,SHC-084,approved,training_candidate
streetsurfacevis::train::472803883806561,unpaved_road,shadow,SHC-086,approved,training_candidate
streetsurfacevis::train::168632125095917,unpaved_road,shadow,SHC-088,approved,training_candidate
streetsurfacevis::train::1356599788073855,normal_asphalt,shadow,SHC-089,approved,training_candidate
streetsurfacevis::train::552579169412517,unpaved_road,shadow,SHC-090,approved,training_candidate
streetsurfacevis::train::298114682046090,normal_asphalt,shadow,SHC-091,approved,training_candidate
streetsurfacevis::train::768267620534431,unpaved_road,shadow,SHC-092,approved,training_candidate
streetsurfacevis::train::928336421077098,normal_asphalt,shadow,SHC-093,approved,training_candidate
streetsurfacevis::train::1926081894236263,unpaved_road,shadow,SHC-094,approved,training_candidate
streetsurfacevis::train::355014816011795,normal_asphalt,shadow,SHC-095,approved,training_candidate
streetsurfacevis::train::327462225415251,unpaved_road,shadow,SHC-096,approved,training_candidate
streetsurfacevis::train::928927871220927,normal_asphalt,shadow,SHC-097,approved,training_candidate
streetsurfacevis::train::761109625199460,unpaved_road,shadow,SHC-098,approved,training_candidate
streetsurfacevis::train::840502303479633,normal_asphalt,shadow,SHC-099,approved,training_candidate
streetsurfacevis::train::1483785245293908,unpaved_road,shadow,SHC-100,approved,training_candidate
streetsurfacevis::train::3508498759421880,unpaved_road,shadow,SHC-102,approved,training_candidate
streetsurfacevis::train::224655839487257,normal_asphalt,shadow,SHC-103,approved,training_candidate
streetsurfacevis::train::815315502694805,unpaved_road,shadow,SHC-106,approved,training_candidate
streetsurfacevis::train::154034490283310,normal_asphalt,shadow,SHC-107,approved,training_candidate
streetsurfacevis::train::127089979410851,normal_asphalt,shadow,SHC-109,approved,training_candidate
streetsurfacevis::train::4061408953918200,unpaved_road,shadow,SHC-110,approved,training_candidate
streetsurfacevis::train::288098827020010,normal_asphalt,shadow,SHC-111,approved,training_candidate
streetsurfacevis::train::2644533889013716,unpaved_road,shadow,SHC-112,approved,training_candidate
streetsurfacevis::train::380955109746116,normal_asphalt,shadow,SHC-113,approved,training_candidate
streetsurfacevis::train::537677998099156,unpaved_road,shadow,SHC-114,approved,training_candidate
streetsurfacevis::train::2950221398531278,normal_asphalt,shadow,SHC-115,approved,training_candidate
streetsurfacevis::train::3418706415126525,unpaved_road,shadow,SHC-118,approved,training_candidate
streetsurfacevis::train::563152015296375,unpaved_road,shadow,SHC-120,approved,training_candidate
