source_record_id,source_image_path,source_annotation_path,source_subtype_labels,source_subtype_counts,mapped_object_count,mapped_object_label_counts,road_marking_present,sha256,exact_duplicate_group_id,duplicate_role,selection_rule,candidate_status
114b,data/raw/v2/ceymo/train/extracted/train/images/114b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/114b.xml,SA,SA:1,1,road_marking:1,yes,bde0adf7e31843685d034a7eca46cbe259c32c02e3bcd37eab1f33d097b361ee,,unique,audited_source_training_record,pre_split_source_candidate
115,data/raw/v2/ceymo/train/extracted/train/images/115.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/115.xml,SA,SA:1,1,road_marking:1,yes,79f549928f8020debfdf883233b10dedd7458fc915b8e2ba203f844199857188,,unique,audited_source_training_record,pre_split_source_candidate
115a,data/raw/v2/ceymo/train/extracted/train/images/115a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/115a.xml,SA,SA:2,2,road_marking:2,yes,0e3fb3a3536215e042afdf2ac9554228974321372cce363109ee37af1cb6da7a,,unique,audited_source_training_record,pre_split_source_candidate
115b,data/raw/v2/ceymo/train/extracted/train/images/115b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/115b.xml,SA,SA:2,2,road_marking:2,yes,d2797c37f884143abdcee64f20f4a2dc02ce99a22018faa0cc827b6b39d90cb5,,unique,audited_source_training_record,pre_split_source_candidate
115c,data/raw/v2/ceymo/train/extracted/train/images/115c.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/115c.xml,SA,SA:2,2,road_marking:2,yes,d4fea0a2ba2c0f1b79c398d6fa7ba9ac03f057bf9af94dc181ab8d6c262152f3,,unique,audited_source_training_record,pre_split_source_candidate
116,data/raw/v2/ceymo/train/extracted/train/images/116.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/116.xml,SA,SA:2,2,road_marking:2,yes,9ea88c5021ce58b085b672822280b5383b7cd1957c0b3f716af9cb5a7b8005a8,,unique,audited_source_training_record,pre_split_source_candidate
116a,data/raw/v2/ceymo/train/extracted/train/images/116a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/116a.xml,SA,SA:2,2,road_marking:2,yes,0f914502cef2ff3d953defbf97a46bdf186c0c8d196ed0eb3c3306ddab39fdec,,unique,audited_source_training_record,pre_split_source_candidate
116b,data/raw/v2/ceymo/train/extracted/train/images/116b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/116b.xml,SA,SA:2,2,road_marking:2,yes,08e6f228c872820c5b484eaeb87c239563f0c6b885891043a7fda21b225ada01,,unique,audited_source_training_record,pre_split_source_candidate
116c,data/raw/v2/ceymo/train/extracted/train/images/116c.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/116c.xml,SA,SA:2,2,road_marking:2,yes,ec840b3ca8e9b17024b11289f61c37ba8606bbfa0015e2b216fba99b477fbdf9,,unique,audited_source_training_record,pre_split_source_candidate
117,data/raw/v2/ceymo/train/extracted/train/images/117.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/117.xml,SA,SA:1,1,road_marking:1,yes,3fefe7598c2febb804081cff072a39c982e3a43c8305ef8ab083a04646d7208f,,unique,audited_source_training_record,pre_split_source_candidate
117a,data/raw/v2/ceymo/train/extracted/train/images/117a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/117a.xml,SA,SA:1,1,road_marking:1,yes,85f0d81301669b54c75874449e53a1791257d8a03150ed22364101f9af5d39ca,,unique,audited_source_training_record,pre_split_source_candidate
117b,data/raw/v2/ceymo/train/extracted/train/images/117b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/117b.xml,SA,SA:1,1,road_marking:1,yes,05d3d3aae96791507b28af67b48f8b0a3441951ff0f832578d8117a97937a78a,,unique,audited_source_training_record,pre_split_source_candidate
117c,data/raw/v2/ceymo/train/extracted/train/images/117c.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/117c.xml,SA,SA:1,1,road_marking:1,yes,f7cee2de58c265ee05a193c51511d8ad617882608f454367e3c8dfd91a76e4d4,,unique,audited_source_training_record,pre_split_source_candidate
117d,data/raw/v2/ceymo/train/extracted/train/images/117d.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/117d.xml,SA,SA:1,1,road_marking:1,yes,9db694fdc609575f128b72ca8de2be35e35ab2d21405a41e3319144c034fd0ac,,unique,audited_source_training_record,pre_split_source_candidate
118,data/raw/v2/ceymo/train/extracted/train/images/118.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/118.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,05d27c313056a950d92b76eea08de5679bd587899a33cc37bd4244f2e80f5945,,unique,audited_source_training_record,pre_split_source_candidate
118a,data/raw/v2/ceymo/train/extracted/train/images/118a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/118a.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,9ad4ad54a3150fb1c2993c9ca91b2e6c744d0fe4b565b07220bdeb602807bb3c,,unique,audited_source_training_record,pre_split_source_candidate
118b,data/raw/v2/ceymo/train/extracted/train/images/118b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/118b.xml,BL,BL:1,1,road_marking:1,yes,0c81596615f36ecbc49954187881b1a4c501cf6ce99681dcbfede13e963b14be,,unique,audited_source_training_record,pre_split_source_candidate
119,data/raw/v2/ceymo/train/extracted/train/images/119.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/119.xml,JB,JB:1,1,road_marking:1,yes,6657d76269a8c2077d18bde8fe94bf348ef199bfc7ce67ff1d60915e27cf71b8,,unique,audited_source_training_record,pre_split_source_candidate
119a,data/raw/v2/ceymo/train/extracted/train/images/119a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/119a.xml,JB,JB:1,1,road_marking:1,yes,0bf13cc256704da49d40ec9b57b63201baeb62c9e2209d6f8eb29d05682d76f8,,unique,audited_source_training_record,pre_split_source_candidate
11a,data/raw/v2/ceymo/train/extracted/train/images/11a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/11a.xml,PC,PC:1,1,road_marking:1,yes,2f59cdfe59ed8cccbbf74dd4ab59b248acc2fec5543eb964dea6dc8a0d6797c8,,unique,audited_source_training_record,pre_split_source_candidate
11b,data/raw/v2/ceymo/train/extracted/train/images/11b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/11b.xml,PC,PC:1,1,road_marking:1,yes,3c3243b5343f84be7d5f78417c3d6456796b994b754c61c87215fdba06930e57,,unique,audited_source_training_record,pre_split_source_candidate
12,data/raw/v2/ceymo/train/extracted/train/images/12.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/12.xml,RA,RA:1,1,road_marking:1,yes,246eb68c33cf2c9b1ed172afcfdcc6b84d7f3d7359925a15759a8c86bfa55433,,unique,audited_source_training_record,pre_split_source_candidate
121,data/raw/v2/ceymo/train/extracted/train/images/121.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/121.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,40e1a70980ee1238e80ce78871972bfe0d6aafce2ec4e37c683d979252218e98,,unique,audited_source_training_record,pre_split_source_candidate
121a,data/raw/v2/ceymo/train/extracted/train/images/121a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/121a.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,880e4636ad2390c494bb6376a19fbc439370099f04b84a0da0ea1362894db181,,unique,audited_source_training_record,pre_split_source_candidate
121b,data/raw/v2/ceymo/train/extracted/train/images/121b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/121b.xml,BL,BL:1,1,road_marking:1,yes,defd535f188b24aa69ef21b31e9ebc02f635bd6c16615bbfd4b4c6e474d96e9b,,unique,audited_source_training_record,pre_split_source_candidate
122,data/raw/v2/ceymo/train/extracted/train/images/122.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/122.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,e4fb1fb27cdef02b02bb4a0c30f9ed8438686138f4f84816b6c06f7445a3d736,,unique,audited_source_training_record,pre_split_source_candidate
122a,data/raw/v2/ceymo/train/extracted/train/images/122a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/122a.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,2cfe796794d8e3f47c3554f4edf00cd146ce99328201c1b47a6ee85b4e175ef3,,unique,audited_source_training_record,pre_split_source_candidate
122b,data/raw/v2/ceymo/train/extracted/train/images/122b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/122b.xml,BL,BL:1,1,road_marking:1,yes,7a701e1a05db5450050d953e7fce726ce3dd103811161c2948c6f19c8e5c0165,,unique,audited_source_training_record,pre_split_source_candidate
123,data/raw/v2/ceymo/train/extracted/train/images/123.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/123.xml,PC,PC:1,1,road_marking:1,yes,0e633d9eab796c9d857156937dd391da5feb7aedc68d09e3d22920b89b166ef8,,unique,audited_source_training_record,pre_split_source_candidate
123a,data/raw/v2/ceymo/train/extracted/train/images/123a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/123a.xml,PC,PC:1,1,road_marking:1,yes,a9d989032fe155a9baaf7f454c18377b12f6bc20b47aaa334d71e7a4e3c83b6e,,unique,audited_source_training_record,pre_split_source_candidate
123b,data/raw/v2/ceymo/train/extracted/train/images/123b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/123b.xml,PC,PC:1,1,road_marking:1,yes,b3e65e77468b167a94cbc26a30802e6e943e99277be3afa732f70ad4a6db52d9,,unique,audited_source_training_record,pre_split_source_candidate
124,data/raw/v2/ceymo/train/extracted/train/images/124.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/124.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,3f6d7039715db7da1b25ab8140c092e226b9dfd4c31f2ac349573de1c0e0d1ab,,unique,audited_source_training_record,pre_split_source_candidate
124a,data/raw/v2/ceymo/train/extracted/train/images/124a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/124a.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,12cb27f5faa2bf128733956c8a4cfd541c4bf45e280893eb33c5b7c817ba44c2,,unique,audited_source_training_record,pre_split_source_candidate
124b,data/raw/v2/ceymo/train/extracted/train/images/124b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/124b.xml,BL,BL:1,1,road_marking:1,yes,61ccdc335dd87f5eaad394faae6b4075e6335dca08dddd9e92ec660053a40977,,unique,audited_source_training_record,pre_split_source_candidate
125,data/raw/v2/ceymo/train/extracted/train/images/125.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/125.xml,BL;DM;SA,BL:1;DM:3;SA:1,5,road_marking:5,yes,d7a39e9b46239f4626fec1ba5046e351d662198d767d965526c5cd87cd4e77e3,,unique,audited_source_training_record,pre_split_source_candidate
125a,data/raw/v2/ceymo/train/extracted/train/images/125a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/125a.xml,BL;DM;SA,BL:1;DM:3;SA:1,5,road_marking:5,yes,4db5a1d4bd36b62efd70163341fa60d6f017488d96a33adbfc969a4f4114eaf0,,unique,audited_source_training_record,pre_split_source_candidate
125b,data/raw/v2/ceymo/train/extracted/train/images/125b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/125b.xml,BL;DM;SA,BL:1;DM:3;SA:1,5,road_marking:5,yes,48fa5fdd658726bf17b386fa55e778f95ec1684df0c59d52920e72c6ca8f6233,,unique,audited_source_training_record,pre_split_source_candidate
126,data/raw/v2/ceymo/train/extracted/train/images/126.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/126.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,9844d1b6812d50e6b7a59092d2fe6d48100762340320bcce282f719298820966,,unique,audited_source_training_record,pre_split_source_candidate
126a,data/raw/v2/ceymo/train/extracted/train/images/126a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/126a.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,6ebe1fcd1b04084a67a2af2fc2a6c079d4c16c693302e0c680b6b076bcb5c522,,unique,audited_source_training_record,pre_split_source_candidate
126b,data/raw/v2/ceymo/train/extracted/train/images/126b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/126b.xml,BL,BL:1,1,road_marking:1,yes,9598a59e4f2a77de4ac29856c545a1b0629927f8db517063b3f1391f1535c31f,,unique,audited_source_training_record,pre_split_source_candidate
127,data/raw/v2/ceymo/train/extracted/train/images/127.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/127.xml,JB,JB:1,1,road_marking:1,yes,1e895e8251c7992eebc045a4506f9ab89dd3af2ef2d47b09ca1ba94e48efaff9,,unique,audited_source_training_record,pre_split_source_candidate
127a,data/raw/v2/ceymo/train/extracted/train/images/127a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/127a.xml,JB,JB:1,1,road_marking:1,yes,07ced6becfe38b2a05402f36bc4ae5dbc4fb8ac32a8afb69ca9c8bcc015a2410,,unique,audited_source_training_record,pre_split_source_candidate
128,data/raw/v2/ceymo/train/extracted/train/images/128.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/128.xml,BL,BL:1,1,road_marking:1,yes,75182bdf9441d31baea425992ee13c8c044241966d018588a579dc8c15a1ce62,,unique,audited_source_training_record,pre_split_source_candidate
128a,data/raw/v2/ceymo/train/extracted/train/images/128a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/128a.xml,BL;SA,BL:1;SA:1,2,road_marking:2,yes,f66116c592d72f21bec76521a8f2d870ee3c1702a81d7699d41ceaf0f0d61a40,,unique,audited_source_training_record,pre_split_source_candidate
