candidate_id,class_label,source_dataset,source_split,source_image_id,split_group_id,region,source_image_path,materialized_image_path,target_box_xywh,crop_box_xyxy,target_box_in_crop_xywh,crop_width,crop_height,training_status,evidence_status,output_sha256
svrdd::train::01002200001307170922380385F_1292800900_484688000::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170922380385F_1292800900_484688000,svrdd::train::01002200001307170922380385F_1292800900_484688000,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170922380385F_1292800900_484688000.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_e6accc2a8bd847adb2021314.jpg,"450.000,709.000,384.000,30.000","64,64,1024,1024","386.000,645.000,384.000,30.000",960,960,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,e3d3ec46a2675da84757bad97144a61eab115e5e9bde039acf36a2733d5b8263
svrdd::train::01002200001307170926271575F_1292616700_484470300::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170926271575F_1292616700_484470300,svrdd::train::01002200001307170926271575F_1292616700_484470300,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170926271575F_1292616700_484470300.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_280aa3972ce0664cc848f028.jpg,"427.000,544.000,61.000,175.000","238,412,676,850","189.000,132.000,61.000,175.000",438,438,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,2a7cd508bd8b557877efe6c485372d16f2fe23d383d97ad6f4829eb5446fac7a
svrdd::train::01002200001307170926285045F_1292615400_484468900::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170926285045F_1292615400_484468900,svrdd::train::01002200001307170926285045F_1292615400_484468900,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170926285045F_1292615400_484468900.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_5037c2d86faa2609b710443d.jpg,"372.000,664.000,56.001,158.000","203,546,598,941","169.000,118.000,56.001,158.000",395,395,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,44d1470131ce3a6f6004e8ea57a43ed7b10e3a06c2d514fb69a4ccbecded89d7
svrdd::train::0100220000130723120157118J3_1293832600_482811800::repaired_road::000,repaired_road,SVRDD_YOLO,train,0100220000130723120157118J3_1293832600_482811800,svrdd::train::0100220000130723120157118J3_1293832600_482811800,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130723120157118J3_1293832600_482811800.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_785c3302f3120f684fbad9e0.jpg,"192.000,569.000,29.000,50.000","142,530,270,658","50.000,39.000,29.000,50.000",128,128,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,e8a4bc3f9c4c24cef4ca0371f6bdb3f2ca6d9c6e48156566b7b3a573cc9ae145
svrdd::train::0100220000130723120157118J3_1293832600_482811800::repaired_road::001,repaired_road,SVRDD_YOLO,train,0100220000130723120157118J3_1293832600_482811800,svrdd::train::0100220000130723120157118J3_1293832600_482811800,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130723120157118J3_1293832600_482811800.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_1d4b7aad5b0442bae7662be2.jpg,"0.999,659.000,170.000,65.000","0,479,425,904","0.999,180.000,170.000,65.000",425,425,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,e54d51237e59e295c2e011bab45e2941dd159f34572ba0072459678876a8c11d
svrdd::train::0100220000130723120202451J3_1293836000_482811800::repaired_road::000,repaired_road,SVRDD_YOLO,train,0100220000130723120202451J3_1293836000_482811800,svrdd::train::0100220000130723120202451J3_1293836000_482811800,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130723120202451J3_1293836000_482811800.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_2ba3d0334850957995aeae46.jpg,"220.000,543.000,139.000,110.000","116,424,464,772","104.000,119.000,139.000,110.000",348,348,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,d9a65bb3cf02b753269fb6836aaa86aeb8285d62117343ce033112bcbcecfe4d
svrdd::train::0100220000130723120203805J3_1293836900_482811800::repaired_road::000,repaired_road,SVRDD_YOLO,train,0100220000130723120203805J3_1293836900_482811800,svrdd::train::0100220000130723120203805J3_1293836900_482811800,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130723120203805J3_1293836900_482811800.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_4cabc2f181dd48e9c6df4b46.jpg,"178.000,560.000,197.000,74.000","30,351,522,843","148.000,209.000,197.000,74.000",492,492,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,e4af37f4c4ccc4595505e9f746d39ec62277d193ef5adda87554ad9b2950ee72
svrdd::train::0100220000130723120203805J3_1293836900_482811800::repaired_road::001,repaired_road,SVRDD_YOLO,train,0100220000130723120203805J3_1293836900_482811800,svrdd::train::0100220000130723120203805J3_1293836900_482811800,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130723120203805J3_1293836900_482811800.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_cfda2a66cb986db16c78940e.jpg,"1.000,594.000,271.000,171.000","0,340,678,1018","1.000,254.000,271.000,171.000",678,678,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,71549b9dac3cf6bac2158501504ba2a58cd093bf66b65bff1674ded33b3012e2
svrdd::train::0100220000130723120203805J3_1293836900_482811800::repaired_road::002,repaired_road,SVRDD_YOLO,train,0100220000130723120203805J3_1293836900_482811800,svrdd::train::0100220000130723120203805J3_1293836900_482811800,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130723120203805J3_1293836900_482811800.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_950c05e21ff44e86d4821437.jpg,"359.000,536.000,83.000,51.000","296,458,504,666","63.000,78.000,83.000,51.000",208,208,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,ea94a8e09217d2869489170849f02ddde28a75761f2073ec62e305ac54b41cf2
svrdd::train::0100220000130723120205087J3_1293837700_482811800::repaired_road::000,repaired_road,SVRDD_YOLO,train,0100220000130723120205087J3_1293837700_482811800,svrdd::train::0100220000130723120205087J3_1293837700_482811800,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130723120205087J3_1293837700_482811800.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_6b3a0f60ea8589ce87e25b58.jpg,"183.999,543.001,231.000,175.000","10,342,588,920","173.999,201.001,231.000,175.000",578,578,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,2357a84945daddbb008d7d7a47fc146fb3e4abcfefb691fd36e8a6de2e775841
svrdd::train::0100220000130723120205087J3_1293837700_482811800::repaired_road::001,repaired_road,SVRDD_YOLO,train,0100220000130723120205087J3_1293837700_482811800,svrdd::train::0100220000130723120205087J3_1293837700_482811800,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130723120205087J3_1293837700_482811800.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_197791cc80a2410fbdbbf8b0.jpg,"0.999,616.000,316.000,98.000","0,234,790,1024","0.999,382.000,316.000,98.000",790,790,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,95c36e1a02e5c8a51ea84344356420c98f66d7d85bec555461f4aade426ac8f7
svrdd::train::01002200001307231606179295S_1293820200_483583100::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307231606179295S_1293820200_483583100,svrdd::train::01002200001307231606179295S_1293820200_483583100,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307231606179295S_1293820200_483583100.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_c95a6578ea910ca8b906db33.jpg,"492.000,634.000,57.000,103.000","392,556,650,814","100.000,78.000,57.000,103.000",258,258,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,2325d6e6e51b8aaf763370b775269d0524b33eeb4fa17e8872dcbd83c401d0a4
svrdd::train::01002200001307241417516735B_1294006500_484931400::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307241417516735B_1294006500_484931400,svrdd::train::01002200001307241417516735B_1294006500_484931400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241417516735B_1294006500_484931400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_fc916023752e37950d47acca.jpg,"319.000,654.001,108.000,173.000","157,525,589,957","162.000,129.001,108.000,173.000",432,432,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,1364b88716afb9ac67cf728652141d34c40f428fd92c6ddc825aff04a18236da
svrdd::train::01002200001307241419459145B_1293883800_484901700::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307241419459145B_1293883800_484901700,svrdd::train::01002200001307241419459145B_1293883800_484901700,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241419459145B_1293883800_484901700.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_52ba87ce28d9e4b07a593576.jpg,"400.999,564.000,46.000,75.000","330,508,518,696","70.999,56.000,46.000,75.000",188,188,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,20434298668a57f9d1ca778c59aefc0902f3f1636515a57f3bd37e2cc281b9a5
svrdd::train::01002200001307241420535465B_1293808400_484891400::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307241420535465B_1293808400_484891400,svrdd::train::01002200001307241420535465B_1293808400_484891400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241420535465B_1293808400_484891400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_011423e75017deadd7afd843.jpg,"305.000,633.000,122.000,199.999","116,483,616,983","189.000,150.000,122.000,199.999",500,500,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,ffd41652065b639f9c647220875ecfa487d062ea69c56047fdc5a82e69126cd9
svrdd::train::01002200001307241420550905B_1293806700_484891400::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307241420550905B_1293806700_484891400,svrdd::train::01002200001307241420550905B_1293806700_484891400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241420550905B_1293806700_484891400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_6567e2ec7726c3cad5c88862.jpg,"685.000,601.999,339.000,220.000","176,176,1024,1024","509.000,425.999,339.000,220.000",848,848,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,57ed70a003a8efda15a3e727954b0c84ef484b67a1d1e803fe4e9d01a0db01ef
svrdd::train::01002200001307241420550905B_1293806700_484891400::repaired_road::001,repaired_road,SVRDD_YOLO,train,01002200001307241420550905B_1293806700_484891400,svrdd::train::01002200001307241420550905B_1293806700_484891400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241420550905B_1293806700_484891400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_6462832e9e73971862823be2.jpg,"360.000,600.001,84.000,150.000","214,488,589,863","146.000,112.001,84.000,150.000",375,375,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,dd20b76ab885bb21cf6f2d2e27eb495ab4385b6b3616dbe70d633f2b8317f4cd
svrdd::train::01002200001307241423489775B_1293651600_484896700::repaired_road::001,repaired_road,SVRDD_YOLO,train,01002200001307241423489775B_1293651600_484896700,svrdd::train::01002200001307241423489775B_1293651600_484896700,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241423489775B_1293651600_484896700.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_a7dd6657e4e3d86c6b00da7f.jpg,"303.999,661.000,94.000,160.000","151,541,551,941","152.999,120.000,94.000,160.000",400,400,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,034c232a22dabdadaaee0da8e7a539ab93536dbf30cbdccf6078e68fba6f773f
svrdd::train::01002200001307241430386395B_1293178500_484905300::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307241430386395B_1293178500_484905300,svrdd::train::01002200001307241430386395B_1293178500_484905300,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241430386395B_1293178500_484905300.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_a5bbfa644cb43be3bd39ee46.jpg,"674.000,623.001,267.000,199.999","356,356,1024,1024","318.000,267.001,267.000,199.999",668,668,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,1f423639f609b6ce220bcdc400b585286cbb57250671258f6cb9146682c4dcbd
svrdd::train::01002200001307241430386395B_1293178500_484905300::repaired_road::001,repaired_road,SVRDD_YOLO,train,01002200001307241430386395B_1293178500_484905300,svrdd::train::01002200001307241430386395B_1293178500_484905300,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241430386395B_1293178500_484905300.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_a6152a05a398d44b5c2c1a4f.jpg,"328.999,619.000,101.000,135.000","210,518,548,856","118.999,101.000,101.000,135.000",338,338,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,d75dae0c29a5ed02db977cc5f48492b18b03cadc210345c41d6871c39b86b716
svrdd::train::01002200001307241430386395B_1293178500_484905300::repaired_road::002,repaired_road,SVRDD_YOLO,train,01002200001307241430386395B_1293178500_484905300,svrdd::train::01002200001307241430386395B_1293178500_484905300,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241430386395B_1293178500_484905300.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_de991f5effc4e91237e42aaa.jpg,"20.000,616.000,295.000,144.000","0,286,738,1024","20.000,330.000,295.000,144.000",738,738,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,6ec997da2da266d80a64e54021731cca0aded569c7fa14fa5f7e46ec05c1aa21
svrdd::train::01002200001307241433293055B_1292991700_484903700::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307241433293055B_1292991700_484903700,svrdd::train::01002200001307241433293055B_1292991700_484903700,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433293055B_1292991700_484903700.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_d1885e352c7c2f0535a09cdc.jpg,"178.000,589.000,222.000,245.000","0,406,612,1018","178.000,183.000,222.000,245.000",612,612,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,16c745492ba0630dcaeb9bf8a64ff57be54d99af7a2fe8f1b9eedd72fb14ece5
svrdd::train::01002200001307241433364995B_1292983100_484903400::repaired_road::001,repaired_road,SVRDD_YOLO,train,01002200001307241433364995B_1292983100_484903400,svrdd::train::01002200001307241433364995B_1292983100_484903400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433364995B_1292983100_484903400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_0d7fb1cc294bd752fff0730d.jpg,"379.000,611.000,75.000,217.000","146,448,688,990","233.000,163.000,75.000,217.000",542,542,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,91ba99c2be8e69ccf889ac86770fbdcc5cb13a6d22df11138d95eea469cda65c
svrdd::train::01002200001307241433364995B_1292983100_484903400::repaired_road::002,repaired_road,SVRDD_YOLO,train,01002200001307241433364995B_1292983100_484903400,svrdd::train::01002200001307241433364995B_1292983100_484903400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433364995B_1292983100_484903400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_7d652f9fbec8cc40997ea420.jpg,"91.999,536.000,344.001,321.000","0,164,860,1024","91.999,372.000,344.001,321.000",860,860,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,49b4dd07efd975842d92ba79960fb5e2d46b847950226f1f42f1d608ac5592ad
svrdd::train::01002200001307241433378825B_1292981500_484903400::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307241433378825B_1292981500_484903400,svrdd::train::01002200001307241433378825B_1292981500_484903400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433378825B_1292981500_484903400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_83290ea7a5b12c0782d1bf19.jpg,"356.000,620.000,84.000,205.000","142,466,654,978","214.000,154.000,84.000,205.000",512,512,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,9a7c67791f7d4a2d19948ad5aa15aecce79e3cca22de404284c15e91bcd4c96e
svrdd::train::01002200001307241433378825B_1292981500_484903400::repaired_road::001,repaired_road,SVRDD_YOLO,train,01002200001307241433378825B_1292981500_484903400,svrdd::train::01002200001307241433378825B_1292981500_484903400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433378825B_1292981500_484903400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_c73d94ccc214fb71cb357fcf.jpg,"72.000,574.000,332.000,283.000","0,194,830,1024","72.000,380.000,332.000,283.000",830,830,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,d1d0edace36553a2b80372145b33bf6c89e40a9a914cb1379ff63db8e6139cb9
svrdd::train::01002200001307241433378825B_1292981500_484903400::repaired_road::002,repaired_road,SVRDD_YOLO,train,01002200001307241433378825B_1292981500_484903400,svrdd::train::01002200001307241433378825B_1292981500_484903400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433378825B_1292981500_484903400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_488f2c65bafc70d088be8c84.jpg,"1.000,644.000,702.000,81.000","0,0,1024,1024","1.000,644.000,702.000,81.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,610564f4520673c39dece2517b57fe03454bd3380f1d618744b58cab4fc3f1d3
svrdd::train::01002200001307241433407705B_1292978200_484903300::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307241433407705B_1292978200_484903300,svrdd::train::01002200001307241433407705B_1292978200_484903300,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433407705B_1292978200_484903300.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_58243ea4056b93514318c134.jpg,"408.999,541.000,58.000,102.000","310,464,565,719","98.999,77.000,58.000,102.000",255,255,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,83ae346a3ff447e1a4952441c8b3368fa054e45af8b522d3a30a654caaa9354e
svrdd::train::01002200001307241433407705B_1292978200_484903300::repaired_road::001,repaired_road,SVRDD_YOLO,train,01002200001307241433407705B_1292978200_484903300,svrdd::train::01002200001307241433407705B_1292978200_484903300,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433407705B_1292978200_484903300.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_f83e0c1ed798b1a6cdf4e093.jpg,"58.000,554.000,338.000,307.000","0,179,845,1024","58.000,375.000,338.000,307.000",845,845,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,a091ad10ef45ae2c6bb6fad37a604352d1e6be6b6b1e841e841e5b35be0ba708
