source_name,source_url,source_split,candidate_id,row_index,filename,sequence_group,surface_context,width,height,shadow_mask_coverage,local_image,local_mask,human_decision,approval_note,status,intended_use,license_note
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-038,352,IMG_6509.jpg,img_000108,paved sidewalk and curb,840,640,0.211487,data/raw/v2/srd_train_road_shadow_sample/images/train_0352_IMG_6509.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0352_IMG_6509.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-041,2136,_MG_5793.jpg,mg_000096,paved ground,840,640,0.109619,data/raw/v2/srd_train_road_shadow_sample/images/train_2136__MG_5793.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2136__MG_5793.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-054,2219,_MG_6032.jpg,mg_000100,tiled sidewalk,840,640,0.207886,data/raw/v2/srd_train_road_shadow_sample/images/train_2219__MG_6032.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2219__MG_6032.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-057,2629,_MG_8769.jpg,mg_000146,steps and asphalt edge,840,640,0.044006,data/raw/v2/srd_train_road_shadow_sample/images/train_2629__MG_8769.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2629__MG_8769.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-062,2498,_MG_6577.jpg,mg_000109,sidewalk,840,640,0.168762,data/raw/v2/srd_train_road_shadow_sample/images/train_2498__MG_6577.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2498__MG_6577.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-070,2597,_MG_6722.jpg,mg_000112,sidewalk and curb,840,640,0.068420,data/raw/v2/srd_train_road_shadow_sample/images/train_2597__MG_6722.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2597__MG_6722.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-072,614,_MG_2380.jpg,mg_000039,asphalt road,840,640,0.093140,data/raw/v2/srd_train_road_shadow_sample/images/train_0614__MG_2380.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0614__MG_2380.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-076,2582,_MG_6706.jpg,mg_000111,paved sidewalk,840,640,0.109009,data/raw/v2/srd_train_road_shadow_sample/images/train_2582__MG_6706.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2582__MG_6706.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-084,2617,_MG_8751.jpg,mg_000145,sidewalk and asphalt,840,640,0.126343,data/raw/v2/srd_train_road_shadow_sample/images/train_2617__MG_8751.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2617__MG_8751.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-089,70,IMG_2428.jpg,img_000040,asphalt street and curb,840,640,0.153320,data/raw/v2/srd_train_road_shadow_sample/images/train_0070_IMG_2428.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0070_IMG_2428.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-091,77,IMG_5269.jpg,img_000087,street and paved ground,640,480,0.209106,data/raw/v2/srd_train_road_shadow_sample/images/train_0077_IMG_5269.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0077_IMG_5269.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-092,199,IMG_6197.jpg,img_000103,curb and sidewalk,840,640,0.128174,data/raw/v2/srd_train_road_shadow_sample/images/train_0199_IMG_6197.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0199_IMG_6197.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-095,452,IMG_6690.jpg,img_000111,paved ground and curb,840,640,0.405457,data/raw/v2/srd_train_road_shadow_sample/images/train_0452_IMG_6690.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0452_IMG_6690.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-078,106,IMG_5492.jpg,img_000091,sidewalk utility cover,840,640,0.059509,data/raw/v2/srd_train_road_shadow_sample/images/train_0106_IMG_5492.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0106_IMG_5492.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
