dataset,revision,split,scene_group,row_idx,source_filename,image_path,mask_path,width,height,pavement_candidate_score,low_saturation_ratio,moderate_brightness_ratio,shadow_coverage,lower_shadow_share,green_excess_ratio,texture_score,selected_for_contact_sheet
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,26,258,26-2.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0258_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0258_mask.png,640,480,0.882147,0.996394,0.99982,0.183789,0.940276,0.0,0.284702,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,23,217,23-6.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0217_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0217_mask.png,640,480,0.879343,0.99988,0.999659,0.151784,0.70404,0.0,0.917046,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,11,19,11-1.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0019_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0019_mask.png,640,480,0.868578,0.981691,1.0,0.162565,1.0,0.0,0.175042,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,52,709,52-6.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0709_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0709_mask.png,640,480,0.86525,0.995092,0.989583,0.306263,0.728838,0.0,0.286454,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,48,634,48-10.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0634_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0634_mask.png,640,480,0.864497,0.98734,0.99351,0.274297,0.701842,0.00014,0.361059,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,50,674,50-13.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0674_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0674_mask.png,640,480,0.86416,0.996274,0.998938,0.53957,0.703299,0.0,0.310412,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,32,349,32-5.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0349_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0349_mask.png,640,480,0.863492,0.992107,0.969331,0.50625,0.711831,0.00028,0.354789,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,36,415,36-12.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0415_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0415_mask.png,640,480,0.860556,0.839503,0.997997,0.234076,1.0,0.0,0.295486,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,55,746,55-1.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0746_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0746_mask.png,640,480,0.857973,0.961478,0.939022,0.170885,1.0,0.0,0.215622,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,54,732,54-11.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0732_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0732_mask.png,640,480,0.85541,0.966446,0.997957,0.142578,0.952146,0.0,0.306183,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,68,939,68-15.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0939_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0939_mask.png,640,480,0.851404,0.927624,0.954868,0.129076,0.966912,0.0001,0.52379,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,10,14,10-5.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0014_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0014_mask.png,640,480,0.850908,0.999479,0.930128,0.139701,1.0,0.0,0.166263,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,27,266,27-1.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0266_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0266_mask.png,640,480,0.849499,0.959976,0.998237,0.500977,0.640676,0.00018,0.441218,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,15,85,15-16.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0085_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0085_mask.png,640,480,0.848959,0.999659,0.99994,0.260768,0.669147,0.0,0.218867,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,86,1257,86-5.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1257_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1257_mask.png,640,480,0.847528,0.945813,0.985457,0.384362,0.720519,0.013582,0.356178,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,75,1051,75-5.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1051_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1051_mask.png,640,480,0.845479,0.974579,0.961739,0.430846,0.640908,0.0,0.410262,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,3,305,3-4.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0305_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0305_mask.png,640,480,0.844904,0.996454,0.998337,0.276237,0.646099,0.000721,0.245895,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,38,456,38-2.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0456_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0456_mask.png,640,480,0.844342,0.820393,0.986138,0.278971,0.960093,4e-05,0.238776,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,9,1319,9-10.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1319_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1319_mask.png,640,480,0.843535,0.995853,0.996895,0.172435,0.824587,0.0,0.214915,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,89,1300,89-10.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1300_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1300_mask.png,640,480,0.841019,0.984976,1.0,0.099076,0.942699,0.0,0.31778,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,56,766,56-16.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0766_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0766_mask.png,640,480,0.829627,0.902584,0.997456,0.195755,0.856924,0.0,0.246171,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,4,478,4-4.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0478_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0478_mask.png,640,480,0.829098,0.974219,0.998838,0.148685,0.809353,0.0,0.296778,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,81,1148,81-14.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1148_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1148_mask.png,640,480,0.824518,0.801623,0.990325,0.232565,0.999272,0.142268,0.457387,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,76,1076,76-9.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1076_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1076_mask.png,640,480,0.82408,0.907732,0.978145,0.489505,0.806246,0.045453,0.170648,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,43,554,43-17.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0554_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0554_mask.png,640,480,0.823101,0.851142,0.996374,0.187435,0.94116,0.0,0.232957,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,39,465,39-10.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0465_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0465_mask.png,640,480,0.818327,0.911378,0.995853,0.108789,0.982166,0.0,0.24454,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,37,430,37-11.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0430_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0430_mask.png,640,480,0.808514,0.903385,1.0,0.116497,0.928244,0.0,0.250952,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,41,515,41-5.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0515_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0515_mask.png,640,480,0.805322,0.76228,0.994531,0.305143,0.862769,0.0002,0.268812,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,79,1116,79-9.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1116_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1116_mask.png,640,480,0.804811,0.979187,0.988622,0.137956,0.7311,0.00016,0.277473,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,53,719,53-15.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0719_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0719_mask.png,640,480,0.80156,0.923538,0.995252,0.126875,0.814758,0.0,0.313238,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,44,568,44-10.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0568_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0568_mask.png,640,480,0.800286,0.862179,0.994571,0.157109,0.822808,2e-05,0.372099,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,49,655,49-6.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0655_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0655_mask.png,640,480,0.800131,0.998077,0.997536,0.365521,0.422841,0.0,0.2828,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,17,127,17-1.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0127_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0127_mask.png,640,480,0.797938,1.0,1.0,0.183333,0.595028,0.0,0.190322,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,42,539,42-3.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0539_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0539_mask.png,640,480,0.794282,0.797496,0.9878,0.142357,0.998902,0.0,0.253398,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,69,960,69-6.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0960_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0960_mask.png,640,480,0.793353,0.645393,0.994091,0.325612,0.994721,0.0,0.303288,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,5,662,5-2.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0662_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0662_mask.png,640,480,0.785296,0.964483,0.973998,0.329635,0.43352,0.0,0.280986,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,83,1190,83-4.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1190_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1190_mask.png,640,480,0.782248,0.959495,0.99986,0.29474,0.369853,0.0,0.362975,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,40,495,40-2.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0495_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0495_mask.png,640,480,0.777991,0.625841,0.998518,0.262214,1.0,0.0,0.204378,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,45,599,45-4.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0599_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0599_mask.png,640,480,0.777236,0.917488,0.998978,0.312292,0.485824,0.0,0.218927,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,33,357,33-13.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0357_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0357_mask.png,640,480,0.775699,0.95623,0.99992,0.060469,0.818691,0.0,0.232093,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,70,977,70-3.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0977_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0977_mask.png,640,480,0.775371,0.926362,0.930429,0.41013,0.677027,0.213482,0.403011,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,28,287,28-7.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0287_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0287_mask.png,640,480,0.775149,0.903666,0.996935,0.128385,0.801724,0.0,0.143036,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,64,882,64-4.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0882_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0882_mask.png,640,480,0.773127,0.997556,0.99369,0.249596,0.348949,0.00022,0.186712,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,21,198,21-8.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0198_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0198_mask.png,640,480,0.772415,1.0,1.0,0.087396,0.658969,0.0,0.254914,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,57,788,57-3.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0788_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0788_mask.png,640,480,0.768937,0.967248,0.997576,0.213281,0.409768,4e-05,0.293054,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,84,1204,84-17.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1204_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1204_mask.png,640,480,0.765957,0.905689,1.0,0.189049,0.561816,0.0,0.274517,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,7,965,7-10.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0965_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0965_mask.png,640,480,0.762978,0.88153,0.993249,0.100964,0.789528,0.058774,0.417463,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,35,404,35-2.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0404_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0404_mask.png,640,480,0.762419,0.577664,0.994712,0.342852,0.988189,0.0,0.264574,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,46,608,46-12.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0608_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0608_mask.png,640,480,0.753366,0.939683,0.985978,0.168529,0.467511,4e-05,0.350743,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,74,1025,74-11.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1025_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1025_mask.png,640,480,0.73769,0.923798,0.983854,0.171979,0.371139,0.00016,0.453925,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,30,324,30-5.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0324_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0324_mask.png,640,480,0.733619,0.879327,0.997817,0.234974,0.343234,0.002063,0.320845,False
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,51,694,51-4.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0694_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0694_mask.png,640,480,0.722788,0.823438,0.989643,0.243945,0.496557,0.0,0.0541,False
